iter	Passed	Remaining
0	1	116
1	2	100
2	2	92
3	3	90
4	4	87
5	5	84
6	6	87
7	7	88
8	8	89
9	10	91
10	11	89
11	12	90
12	13	89
13	14	88
14	15	86
15	16	85
16	17	84
17	18	83
18	19	83
19	20	82
20	21	81
21	22	80
22	23	79
23	24	77
24	25	77
25	26	76
26	27	74
27	28	73
28	29	72
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	63
37	38	63
38	39	62
39	40	61
40	41	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	63	34
65	64	32
66	65	32
67	65	31
68	66	29
69	67	28
70	68	27
71	69	26
72	70	25
73	70	24
74	71	23
75	72	22
76	73	21
77	74	20
78	75	19
79	76	19
80	76	18
81	78	17
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	93	0
99	94	0
